gram	count
chippewas	14
chippewa	14
cook	14
cooke	14
cooks	14
cookes	14
cooperative	14
coopers	14
cooper	14
imeni	14
doctor	14
doctors	14
barrens	14
barren	14
volya	14
philadelphia	14
yellow	14
kvarnsjon	14
saintlaurent	14
roosevelt	14
centerville	14
capo	14
verkhnyaya	14
ayioi	14
davit	14
brod	14
oevre	14
mhor	14
cherry	14
crow	14
crows	14
six	14
albert	14
alberts	14
cala	14
semenovka	14
villanueva	14
villanuevas	14
prietos	14
prieto	14
winterthur	14
bennetts	14
bennett	14
wayside	14
ancon	14
ancones	14
staroye	14
manastirea	14
veselyy	14
chernyye	14
chernyy	14
god	14
gods	14
rambla	14
goodes	14
gooding	14
goode	14
good	14
gemeen	14
gardner	14
